index,Definition
1511,Number of men
1512,Number of men (unweighted)
1513,Mean Body Mass Index (BMI) for men
1514,Percentage of men with normal BMI (18.5-24.9)
1515,Percentage of men who are thin according to BMI (<18.5)
1516,Percentage of men who are mildly thin according to BMI (17.0-18.4)
1517,Percentage of men who are moderately thin according to BMI (<17.0)
1518,Percentage of men who are overweight or obese according to BMI (>=25.0)
1519,Percentage of men who are overweight according to BMI (25.0-29.9)
1520,Percentage of men who are obese according to BMI (>=30.0)
1521,Number of men
1522,Number of men (unweighted)
1523,Percentage of women classified as having any anemia (<12.0 g/dl for non-pregnant women and <11.0 g/dl for pregnant women)
1524,Percentage of women classified as having mild anemia (10.0-11.9 g/dl for non-pregnant women and 10.0-10.9 g/dl for pregnant women)
1525,Percentage of women classified as having moderate anemia (7.0-9.9 g/dl)
1526,Percentage of women classified as having severe anemia (<7.0 g/dl)
1527,Number of women
1528,Number of women (unweighted)
1529,Percentage of men classified as having any anemia
1530,Number of men
1531,Number of men (unweighted)
1532,Percentage of women with a birth in the five years preceding the survey who received a vitamin A dose in the first two months after delivery
1533,Percentage of women with a birth in the five years preceding the survey who took no iron tablets or syrup
1534,Percentage of women with a birth in the five years preceding the survey who took iron tablets or syrup for <60 days
1535,Percentage of women with a birth in the five years preceding the survey who took iron tablets or syrup for 60-89 days
1536,Percentage of women with a birth in the five years preceding the survey who took iron tablets or syrup for 90+ days
1537,Percentage of women with a birth in the five years preceding the survey with 'don't know' or missing information on iron tablets or syrup
1538,Percentage of women with a birth in the five years preceding the survey: Total
1539,Percentage of women with a birth in the five years preceding the survey who took deworming medication during the pregnancy of the last birth
1540,Percentage of women with a birth in the five years preceding the survey who suffered from night blindness during pregnancy (adjusted)
1541,Percentage of women with a birth in the five years preceding the survey who suffered from night blindness during pregnancy (reported)
1542,Number of women with a birth in the five years preceding the survey
1543,Number of women with a birth in the five years preceding the survey (unweighted)
1544,Percentage of women with a birth in the past five years living in households using adequately iodized salt
1545,Number of women with a birth in the past five years living in households tested for iodized salt
1546,Number of women with a birth in the past five years living in households tested for iodized salt (unweighted)
1547,Percentage of households with at least one mosquito net (treated or untreated)
1548,Percentage of households with at least one insecticide treated mosquito net (ITN)
1549,Percentage of households with at least one long-lasting insecticide treated mosquito net (LLIN)
1550,Mean number of mosquito nets per household
1551,Mean number of insecticide tested mosquito nets (ITNs) per household
1552,Mean number of long-lasting insecticide tested mosquito nets (LLINs) per household
1553,Number of households
1554,Number of households (unweighted)
1555,Percentage of households with at least one mosquito net for every two persons who stayed in the household the previous night
1556,Percentage of households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night
1557,Percentage of households with at least one long-lasting insecticidal net (LLIN) for every two persons who stayed in the household the previous night
1558,Number of households with a least one person who stayed in the household last night
1559,Number of households with a least one person who stayed in the household last night (unweighted)
1560,Percentage of households with indoor residual spraying (IRS) in the 12 months preceding the survey
1561,Households with at least one insecticide treated net (ITN) and/or indoor residual spraying (IRS) in the 12 months preceding the survey
1562,Households with at least one ITN for every two persons and/or IRS in the past 12 months
1563,Number of households
1564,Number of households (unweighted)
1565,Number of persons
1566,Number of persons (unweighted)
1567,Percentage of the de facto household population who could sleep under an ITN if each ITN in the household were used by up to two people
1568,Percentage of the de facto household population who slept under any net the night before the survey
1569,Percentage of the de facto household population who slept under an insecticide treated net the night before the survey
1570,Percentage of the de facto household population who slept under a long -lasting insecticide treated net the night before the survey
1571,Percentage of the de facto household population who slept under an insecticide treated net the night before the survey or in a dwelling sprayed with indoor residual spraying in the 12 months preceding the survey
1572,Number of persons
1573,Number of persons (unweighted)
1574,Percentage of the de facto household population living in a household with at least one insecticide treated net (ITN) who slept under an ITN the night before the survey
1575,Number of persons living in a household with at least one insecticide treated net
1576,Number of persons living in a household with at least one insecticide treated net (unweighted)
1577,Percentage of existing insecticide treated nets used the night before the survey
1578,Number of insecticide treated nets
1579,Number of insecticide treated nets (unweighted)
1580,Percentage of children under age five who slept under any net the night before the survey
1581,Percentage of children under age five who slept under an insecticide treated net (ITN) the night before the survey
1582,Percentage of children under age five who slept under a long-lasting insecticide treated net (LLIN) the night before the survey
1583,Percentage of children under age five who slept under an insecticide treated net (ITN) the night before the survey or in a dwelling sprayed with indoor residual spraying in the 12 months preceding the survey
1584,Number of children under age five
1585,Number of children under age five (unweighted)
1586,Percentage of children under age five living in a household with at least one insecticide treated net (ITN) who slept under an ITN the night before the survey
1587,Number of children under age five in households with at least one ITN
1588,Number of children under age five in households with at least one ITN (unweighted)
1589,Percentage of pregnant women who slept under any net the night before the survey
1590,Percentage of pregnant women who slept under an insecticide treated net (ITN) the night before the survey
1591,Percentage of pregnant women who slept under a long-lasting insecticide treated net (LLIN) the night before the survey
1592,Percentage of pregnant women who slept under an insecticide treated net (ITN) the night before the survey or in a dwelling sprayed with indoor residual spraying in the 12 months preceding the survey
1593,Number of pregnant women
1594,Number of pregnant women (unweighted)
1595,Percentage of pregnant women living in a household with at least one insecticide treated net (ITN) who slept under an ITN the night before the survey
1596,Number of pregnant women in households with at least one ITN
1597,Number of pregnant women in households with at least one ITN (unweighted)
1598,Percentage of women age 15-49 with a live birth in the two years preceding the survey who during the pregnancy took at least one dose of SP/Fansidar
1599,Percentage of women age 15-49 with a live birth in the two years preceding the survey who during the pregnancy took two or more doses of SP/Fansidar
1600,Percentage of women age 15-49 with a live birth in the two years preceding the survey who during the pregnancy took three or more doses of SP/Fansidar
1601,"Percentage of women age 15-49 with a live birth in the two years preceding the survey who during the pregnancy took at least one dose of SP/Fansidar, with at least one dose during an antenatal care visit"
1602,"Percentage of women age 15-49 with a live birth in the two years preceding the survey who during the pregnancy took two or more doses of SP/Fansidar, with at least one dose during an antenatal care visit (Intermittent Preventive Treatment for pregnant women (IPTp))"
1603,"Percentage of women age 15-49 with a live birth in the two years preceding the survey who during the pregnancy took three or more doses of SP/Fansidar, with at least one dose during an antenatal care visit (Intermittent Preventive Treatment for pregnant women (IPTp))"
1604,Number of women age 15-49 with a live birth in the two years preceding the survey
1605,Number of women age 15-49 with a live birth in the two years preceding the survey (unweighted)
1606,Percentage of children under age five with fever in the two weeks preceding the survey
1607,Number of children under age five
1608,Number of children under age five (unweighted)
1609,"Among children under age five with fever in the two weeks preceding the survey, the percentage for whom advice or treatment was sought"
1610,"Among children under age five with fever in the two weeks preceding the survey, the percentage for whom advice or treatment was sought the same or the next day"
1611,"Among children under age five with fever in the two weeks preceding the survey, the percentage who had blood taken from a finger or heel for testing"
1612,"Among children under age five with fever in the two weeks preceding the survey, the percentage who took a combination with artemisinin"
1613,"Among children under age five with fever in the two weeks preceding the survey, the percentage who took a combination with artemisinin the same day"
1614,Among children under age five with fever in the two weeks preceding the survey the percentage who took antimalarial drugs
1615,Among children under age five with fever in the two weeks preceding the survey the percentage who took antimalarial drugs the same or next day following the onset of fever
1616,Number of children under age five with fever in the two weeks preceding the survey
1617,Number of children under age five with fever in the two weeks preceding the survey (unweighted)
1618,Number of children under age five with fever in the two weeks preceding the survey for whom advice of treatment was sought (unweighted)
1619,Percentage of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs who took any artemisinin-based combination therapy
1620,Percentage of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs who took Quinine
1621,Percentage of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs who took SP/Fansidar
1622,Percentage of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs who took Chloroquine
1623,Percentage of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs who took Amodiaquine
1624,Percentage of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs who took Artesunate mono therapy
1625,Number of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs
1626,Percentage of children under age five with fever in the two weeks preceding the survey and received any anti-malarial drugs who took another antimalarial
1627,Number of children under age five with fever in the two weeks preceding the survey that received any anti-malarial drugs (unweighted)
1628,Percentage of children age 6-59 months with hemoglobin lower than 8.0 g/dl
1629,Number of children age 6-59 months
1630,Number of children age 6-59 months (unweighted)
1631,Percentage of children age 6-59 months tested using a rapid diagnostic test (RDT) who are positive for malaria
1632,Number of children age 6-59 months tested for malaria using a rapid diagnostic test (RDT)
1633,Number of children age 6-59 months tested for malaria using a rapid diagnostic test (RDT) (unweighted)
1634,Number of children age 6-59 months eligible to be tested for malaria using a rapid diagnostic test (RDT) (unweighted)
1635,Percentage of children age 6-59 months tested using microscopy who are positive for malaria
1636,Number of children age 6-59 months tested for malaria using microscopy
1637,Number of children age 6-59 months tested for malaria using microscopy (unweighted)
1638,Number of children age 6-59 months eligible to be tested for malaria using microscopy (unweighted)
1639,Percentage of women who have heard of HIV or AIDS
1640,Number of women
1641,Number of women (unweighted)
1642,Percentage of men who have heard of HIV or AIDS
1643,Number of men
1644,Number of men (unweighted)
1645,"Percentage of women who, in response to a prompted question, say that people can protect themselves from  contracting HIV by using condoms."
1646,"Percentage of women who, in response to a prompted question, say that people can protect themselves from contracting HIV by having sex only with one faithful, uninfected partner."
1647,"Percentage of women who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner."
1648,Number of women
1649,Number of women (unweighted)
1650,"Percentage of men who, in response to a prompted question, say that people can protect themselves from  contracting HIV by using condoms."
1651,"Percentage of men who, in response to a prompted question, say that people can protect themselves from contracting HIV by having sex only with one faithful, uninfected partner."
1652,"Percentage of men who, in response to a prompted question, say that people can protect themselves from contracting HIV by using condoms or having sex only with one faithful, uninfected partner."
1653,Number of men
1654,Number of men (unweighted)
1655,Percentage of women who say that a healthy-looking person can have the AIDS virus.
1656,Percentage of women who reject the misconception that HIV/AIDS can be transmitted by mosquito bites.
1657,Percentage of women who reject the misconception that HIV/AIDS can be transmitted by supernatural means.
1658,Percentage of women who reject the misconception that a person can become infected by sharing food with a person who has AIDS.
1659,Percentage of women who reject the misconception that a person can become infected by sharing food with a person who has AIDS.
1660,"Percentage of women who, in response to a prompted question, correctly reject the two most common local misconceptions about AIDS transmission or prevention, and who know that a healthy-looking person can have the AIDS virus."
1661,"Percentage of women who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV."
1662,Number of women
1663,Number of women (unweighted)
1664,Percentage of men who say that a healthy-looking person can have the AIDS virus.
1665,Percentage of men who reject the misconception that HIV/AIDS can be transmitted by mosquito bites.
1666,Percentage of men who reject the misconception that HIV/AIDS can be transmitted by supernatural means.
1667,Percentage of men who reject the misconception that a person can become infected by sharing food with a person who has AIDS.
1668,Percentage of men who reject the misconception that a person can become infected by sharing food with a person who has AIDS.
1669,"Percentage of men who, in response to a prompted question, correctly reject the two most common local misconceptions about AIDS transmission or prevention, and who know that a healthy-looking person can have the AIDS virus."
1670,"Percentage of men who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV."
1671,Number of men
1672,Number of men (unweighted)
1673,Percentage of women who report that HIV can be transmitted from mother to child in breastfeeding.
1674,Knowledge of prevention of MTCT - Can be prevented by mother taking ART during pregnancy [Women]
1675,Percentage of women who report that maternal to child transmission of HIV can be prevented through anti-retroviral therapy during pregnancy <u>and</u> avoiding breastfeeding.
1676,Number of women
1677,Number of women (unweighted)
1678,Percentage of men who report that HIV can be transmitted from mother to child in breastfeeding.
1679,Knowledge of prevention of MTCT - Can be prevented by mother taking ART during pregnancy [Men]
1680,Percentage of men who report that maternal to child transmission of HIV can be prevented through anti-retroviral therapy during pregnancy <u>and</u> avoiding breastfeeding.
1681,Number of men
1682,Number of men (unweighted)
1683,Percentage of women saying that they would be willing to care for a family member who became sick with the AIDS virus.
1684,Percentage of women who say they would buy fresh vegetables from a vendor whom they knew was HIV+
1685,Percentage of women who say that a female teacher who is HIV+ but not sick should be allowed to continue teaching in school
1686,Percentage of women who say that they would not want to keep the HIV+ status of a family member a secret.
1687,Percentage of women expressing accepting attitudes towards people with HIV.
1688,Number of women who have heard of AIDS
1689,Number of women who have heard of AIDS (unweighted)
1690,Percentage of men saying that they would be willing to care for a family member who became sick with the AIDS virus.
1691,Percentage of men who say they would buy fresh vegetables from a vendor whom they knew was HIV+
1692,Percentage of men who say that a female teacher who is HIV+ but not sick should be allowed to continue teaching in school
1693,Percentage of men who say that they would not want to keep the HIV+ status of a family member a secret.
1694,Percentage of men expressing accepting attitudes towards people with HIV.
1695,Number of men who have heard of AIDS
1696,Number of men who have heard of AIDS (unweighted)
1697,"Percentage of women who believe that, a woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women"
1698,"Percentage of women who believe that, a woman is justified in asking that they use a condom if she knows that her husband has an sti"
1699,Number of women
1700,Number of women (unweighted)
1701,"Percentage of men who believe that, a woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [men]"
1702,"Percentage of men who believe that, a woman is justified in asking that they use a condom if she knows that her husband has an sti [men]"
1703,Number of men
1704,Number of men (unweighted)
1705,Percentage of women (18+ years old) who are in favor of young people being educated about using a condom to prevent HIV/AIDS. 
1706,Number of women
1707,Number of women (unweighted)
1708,Percentage of men (18+ years old) who are in favor of young people being educated about using a condom to prevent HIV/AIDS. 
1709,Number of men
1710,Number of men (unweighted)
1711,"Percentage of women who have had sex with a non-marital, non-cohabiting partner in the last 12 months of all women reporting sexual activity in the last 12 months"
1712,Number of women reporting sexual activity in the last 12 months
1713,Number of women reporting sexual activity in the last 12 months (unweighted)
1714,"Percentage of women who say they used a condom the last time they had sex with a non-marital, non-cohabiting partner, of those who have had sex with such a partner in the last 12 months."
1715,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months"
1716,"Number of women who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)"
1717,"Percentage of men who have had sex with a non-marital, non-cohabiting partner in the last 12 months of all men reporting sexual activity in the last 12 months"
1718,Number of men reporting sexual activity in the last 12 months
1719,Number of men reporting sexual activity in the last 12 months (unweighted)
1720,"Percentage of men who say they used a condom the last time they had sex with a non-marital, non-cohabiting partner, of those who have had sex with such a partner in the last 12 months."
1721,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months"
1722,"Number of men who had sex with a non-marital, non-cohabiting partner in the last 12 months (unweighted)"
1723,Percentage of women aged 15-49 who have had sexual intercourse with more than one partner in the last 12 months.
1724,Number of women
1725,Number of women (unweighted)
1726,Percentage of women aged 15-49 who had more than one partner in the past 12 months reporting the use of a condom during their last sexual intercourse.
1727,Number of women
1728,Number of women (unweighted)
1729,Mean number of sexual partners in her lifetime among women who ever had sexual intercourse
1730,Number of women who ever had sexual intercourse
1731,Number of women who ever had sexual intercourse (unweighted)
1732,Percentage of men aged 15-49 who have had sexual intercourse with more than one partner in the last 12 months.
1733,Number of men
1734,Number of men (unweighted)
1735,Percentage of men aged 15-49 who had more than one partner in the past 12 months reporting the use of a condom during their last sexual intercourse.
1736,Number of men
1737,Number of men (unweighted)
1738,Mean number of sexual partners in his lifetime among men who ever had sexual intercourse
1739,Number of men who ever had sexual intercourse
1740,Number of men who ever had sexual intercourse (unweighted)
1741,The percentage of women who had two (or more) sexual partners that were concurrent at the point in time six months preceding the survey
1742,The percentage of women who had two (or more) sexual partners that were concurrent anytime during the 12 months preceding the survey
1743,Number of women
1744,Number of women (unweighted)
1745,Percentage of women with multiple partners in the 12 months preceding the survey who had concurrent sexual partners at any time during the 12 months preceding the survey
1746,Number of women with multiple partners in the 12 months preceding the survey
1747,Number of women with multiple partners in the 12 months preceding the survey (unweighted)
1748,The percentage of men who had two (or more) sexual partners that were concurrent at the point in time six months preceding the survey
1749,The percentage of men who had two (or more) sexual partners that were concurrent anytime during the 12 months preceding the survey
1750,Number of men
1751,Number of men (unweighted)
1752,Percentage of men with multiple partners in the 12 months preceding the survey who had concurrent sexual partners at any time during the 12 months preceding the survey
1753,Number of men with multiple partners in the 12 months preceding the survey
1754,Number of men with multiple partners in the 12 months preceding the survey (unweighted)
1755,Percentage of men who ever paid for sexual intercourse
1756,Percentage of men who paid for sexual intercourse in the 12 months preceding the survey
1757,Number of men
1758,Number of men (unweighted)
1759,"Percentage of men reporting condom use the last time they had paid sex, of those who report having had paid for sex in the 12 months preceding the survey."
1760,Number of men who report having had paid for sex in the 12 months preceding the survey
1761,Number of men who report having had paid for sex in the 12 months preceding the survey (unweighted)
1762,Percentage of women who know where to get an HIV test
1763,Percentage of women who have ever had an HIV test and received their results
1764,Percentage of women who have ever had an HIV test but did not receive their results
1765,Percentage of women who were never tested for HIV
1766,Percentage of women: Total
1767,Percentage of women who have ever received an HIV test.
1768,Percentage of women who received an HIV test in the 12 months preceding the interview and received the test results 
1769,Number of women
1770,Number of women (unweighted)
1771,Percentage of men who know where to get an HIV test
1772,Percentage of men who have ever had an HIV test and received their results
1773,Percentage of men who have ever had an HIV test but did not receive their results
1774,Percentage of men who were never tested for HIV
1775,Percentage of men: Total
1776,Percentage of men who have ever received an HIV test.
1777,Percentage of men who received an HIV test in the 12 months preceding the interview and received the test results 
1778,Number of men
1779,Number of men (unweighted)
1780,"Percentage of women who were counselled for HIV during antenatal visit for the most recent birth, of all women who gave birth in the two years preceding the survey"
1781,"Percentage of women who were tested for HIV, received the result and received post-test counselling during antenatal visit for the most recent birth, of all women who gave birth in the two years preceding the survey"
1782,"Percentage of women who were tested for HIV, received the result, but did not receive post-test counselling during antenatal visit for the most recent birth, of all women who gave birth in the two years preceding the survey"
1783,"Percentage of women who were tested for HIV, but did not receive the result during antenatal visit for the most recent birth, of all women who gave birth in the two years preceding the survey"
1784,"Percentage of women who received counselling for HIV and an HIV test and received the results during antenatal care for the most recent birth, of all women who gave birth in the two years preceding the survey"
1785,"Percentage of women tested for HIV during ANC or labor for the most recent birth and receiving the results, of all women who gave birth in the two years preceding the survey"
1786,"Percentage of women tested for HIV during ANC or labor for the most recent birth but did not receive the results, of all women who gave birth in the two years preceding the survey"
1787,Number of women who gave birth in the two years preceding the survey
1788,Number of women who gave birth in the two years preceding the survey (unweighted)
1789,Percentage of men who report being circumcised
1790,Number of men
1791,Number of men (unweighted)
1792,Percentage of women reporting a sexually transmitted infection in the 12 months preceding the survey among women who ever had sexual intercourse
1793,Percentage of women reporting a bad smelling or abnormal genital discharge in the 12 months preceding the survey among women who ever had sexual intercourse
1794,Percentage of women reporting a genital sore or ulcer in the 12 months preceding the survey among women who ever had sexual intercourse
1795,"Percentage of women reporting a sexually transmitted infection, genital dicharge, or a genital sore or ulcer in the 12 months preceding the survey among women who ever had sexual intercourse"
1796,Number of women who ever had sexual intercourse
1797,Number of women who ever had sexual intercourse (unweighted)
1798,Percentage of men reporting a sexually transmitted infection in the 12 months preceding the survey among Men who ever had sexual intercourse
1799,Percentage of men reporting a bad smelling or abnormal genital discharge in the 12 months preceding the survey among Men who ever had sexual intercourse
1800,Percentage of men reporting a genital sore or ulcer in the 12 months preceding the survey among Men who ever had sexual intercourse
1801,"Percentage of men reporting a sexually transmitted infection, genital dicharge, or a genital sore or ulcer in the 12 months preceding the survey among Men who ever had sexual intercourse"
1802,Number of men who ever had sexual intercourse
1803,Number of men who ever had sexual intercourse (unweighted)
1804,Percentage of women who received a medical injection in the 12 months preceding the survey
1805,Average number of medical injections per woman in the 12 months preceding the survey
1806,Number of women
1807,Number of women (unweighted)
1808,"Percentage of women reporting that the last health care injection was given with a syringe and needle set from a new, unopened package"
1809,Number of women receiving medical injections in the 12 months preceding the survey
1810,Number of women receiving medical injections in the 12 months preceding the survey (unweighted)
1811,Percentage of men who received a medical injection in the 12 months preceding the survey
1812,Average number of medical injections per man in the 12 months preceding the survey
1813,Number of men
1814,Number of men (unweighted)
1815,"Percentage of men reporting that the last health care injection was given with a syringe and needle set from a new, unopened package"
1816,Number of men receiving medical injections in the 12 months preceding the survey
1817,Number of men receiving medical injections in the 12 months preceding the survey (unweighted)
1818,"Percentage of women age 15-24 years old who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.   "
1819,Percentage of young women age 15-24 who know of at least one formal source of condoms. 
1820,Number of young women age 15-24
1821,Number of young women age 15-24 (unweighted)
1822,"Percentage of men age 15-24 years old who correctly identify the two major ways of preventing the sexual transmission of HIV (using condoms and limiting sex to one faithful, uninfected partner), who reject the two most common local misconceptions about HIV transmission, and who know that a healthy-looking person can have HIV.   "
1823,Percentage of young men age 15-24 who know of at least one formal source of condoms. 
1824,Number of young men age 15-24
1825,Number of young men age 15-24 (unweighted)
1826,Percentage of young women age 15-24 who have had sex before the age of 15. 
1827,Number of young women age 15-24
1828,Number of young women age 15-24 (unweighted)
1829,Percentage of young women 18-24 who have had sex before the age of 18. 
1830,Number of young women age 18-24
1831,Number of young women age 18-24 (unweighted)
1832,Percentage of young men age 15-24 who have had sex before the age of 15. 
1833,Number of young men age 15-24
1834,Number of young men age 15-24 (unweighted)
1835,Percentage of young men 18-24 who have had sex before the age of 18. 
1836,Number of young men age 18-24
1837,Number of young men age 18-24 (unweighted)
1838,Percentage of young never married women age 15-24 who have never had sexual intercourse
1839,Percentage of young never married women age 15-24 who have had sex in the last 12 months of all young single women surveyed.
1840,Number of never-married young women age 15-24
1841,Number of never-married young women age 15-24 (unweighted)
1842,"Percentage of young never married women age 15-24 who used a condom at last sex, of all young single sexually active women surveyed."
1843,Number of never-married young women age 15-24 who had sex in the past year
1844,Number of never-married young women age 15-24 who had sex in the past year (unweighted)
1845,Percentage of young never married men age 15-24 who have never had sexual intercourse
1846,Percentage of young never married men age 15-24 who have had sex in the last 12 months of all young single men surveyed.
1847,Number of never-married men age 15-24
1848,Number of never-married men age 15-24 (unweighted)
1849,"Percentage of young never married women age 15-24 who used a condom at last sex, of all young single sexually active women surveyed."
1850,Number of never-married young men age 15-24 who had sex in the past year
1851,Number of never-married young men age 15-24 who had sex in the past year (unweighted)
1852,Percentage of young women age 15-24 who have had sex with more than one partner in the 12 months preceding the survey
1853,Number of young women age 15-24
1854,Number of young women age 15-24 (unweighted)
1855,Percentage of young women age 15-24 who have had sex with more than one partner in the 12 months preceding the survey among women who had sexual intercourse in the 12 months preceding the survey
1856,Number of sexually active young women age 15-24 who had sexual intercourse in the 12 months preceding the survey
1857,Number of sexually active young women age 15-24 who had sexual intercourse in the 12 months preceding the survey (unweighted)
1858,"Percentage of young women age 15-24 who reported using a condom at last sexual intercourse, of all young women who had sex with more than one partner in the 12 months preceding the survey"
1859,Number of young women age 15-24
1860,Number of young women age 15-24 (unweighted)
1861,Percentage of young men age 15-24 who have had sex with more than one partner in the 12 months preceding the survey
1862,Number of young men age 15-24
1863,Number of young men age 15-24 (unweighted)
1864,Percentage of young men age 15-24 who have had sex with more than one partner in the 12 months preceding the survey among men who had sexual intercourse in the 12 months preceding the survey
1865,Number of sexually active young men age 15-24 who had sexual intercourse in the 12 months preceding the survey
1866,Number of sexually active young men age 15-24 who had sexual intercourse in the 12 months preceding the survey (unweighted)
1867,"Percentage of young men age 15-24 who reported using a condom at last sexual intercourse, of all young men who had sex with more than one partner in the 12 months preceding the survey"
1868,Number of young men age 15-24
1869,Number of young men age 15-24 (unweighted)
1870,Percentage of young women 15-19 who have had sex in the preceding 12 months with a partner who is 10 or more years older than themselves
1871,Number of young women age 15-19
1872,Number of young women age 15-19 (unweighted)
1873,Percentage of young men 15-19 who have had sex in the preceding 12 months with a partner who is 10 or more years older than themselves
1874,Number of young men age 15-19
1875,Number of young men age 15-19 (unweighted)
1876,Percentage of sexually active young women age 15-24 who had sexual intercourse in the 12 months preceding the survey who had an HIV test in the 12 months preceding the survey and know the results
1877,Number of sexually active young women age 15-24 who had sexual intercourse in the 12 months preceding the survey
1878,Number of sexually active young women age 15-24 who had sexual intercourse in the 12 months preceding the survey (unweighted)
1879,Percentage of sexually active young men age 15-24 who had sexual intercourse in the 12 months preceding the survey who had an HIV test in the 12 months preceding the survey and know the results
1880,Number of sexually active young men age 15-24 who had sexual intercourse in the 12 months preceding the survey
1881,Number of sexually active young men age 15-24 who had sexual intercourse in the 12 months preceding the survey (unweighted)
1882,Percentage of women who were tested for HIV and interviewed
1883,Percentage of women who were tested for HIV but not interviewed
1884,Percentage of women who refused to provide blood for the HIV test but were interviewed
1885,Percentage of women who refused to provide blood for the HIV test and were not interviewed
1886,Percentage of women who were absent at the time of blood collection for the HIV test but were interviewed
1887,Percentage of women who were absent at the time of blood collection for the HIV test and were not interviewed
1888,Percentage of women for whom HIV testing was not done for other reasons but were interviewed
1889,Percentage of women for whom HIV testing was not done for other reasons and were not interviewed
1890,Percentage of women eligible for HIV testing: Total
1891,Number of women
1892,Number of women (unweighted)
1893,Percentage of men who were tested for HIV and interviewed
1894,Percentage of men who were tested for HIV but not interviewed
1895,Percentage of men who refused to provide blood for the HIV test but were interviewed
1896,Percentage of men who refused to provide blood for the HIV test and were not interviewed
1897,Percentage of men who were absent at the time of blood collection for the HIV test but were interviewed
1898,Percentage of men who were absent at the time of blood collection for the HIV test and were not interviewed
1899,Percentage of men for whom HIV testing was not done for other reasons but were interviewed
1900,Percentage of men for whom HIV testing was not done for other reasons and were not interviewed
1901,Percentage of men eligible for HIV testing: Total
1902,Number of men
1903,Number of men (unweighted)
1904,Percentage of persons who were tested for HIV and interviewed
1905,Percentage of persons who were tested for HIV but not interviewed
1906,Percentage of persons who refused to provide blood for the HIV test but were interviewed
1907,Percentage of persons who refused to provide blood for the HIV test and were not interviewed
1908,Percentage of persons who were absent at the time of blood collection for the HIV test but were interviewed
1909,Percentage of persons who were absent at the time of blood collection for the HIV test and were not interviewed
1910,Percentage of persons for whom HIV testing was not done for other reasons but were interviewed
1911,Percentage of persons for whom HIV testing was not done for other reasons and were not interviewed
1912,Percentage of persons eligible for HIV testing: Total
1913,Number of persons
1914,Number of persons (unweighted)
1915,Percentage HIV positive among adult women who were tested. Data are shown with lower and upper bounds of the confidence intervals showing the range of the estimate with 95% probability. Starting around 2015 The DHS Program changed the HIV testing algorithm to add a confirmatory test for all EIA positive specimens. This change may affect trends in HIV prevalence estimates in some countries.
1916,Standard error of HIV positive among adult women who were tested
1917,Relative error of HIV positive among adult women who were tested
1918,Lower bound for the confidence interval of the HIV prevalence among women calculated as the HIV prevalence minus 2 standard errors 
1919,Upper bound for the confidence interval of the HIV prevalence among women calculated as the HIV prevalence plus 2 standard errors 
1920,Number of women interviewed and tested
1921,Number of women interviewed and tested (unweighted)
1922,Percentage HIV positive among adult men who were tested. Data are shown with lower and upper bounds of the confidence intervals showing the range of the estimate with 95% probability. Starting around 2015 The DHS Program changed the HIV testing algorithm to add a confirmatory test for all EIA positive specimens. This change may affect trends in HIV prevalence estimates in some countries.
1923,Standard error of HIV positive among adult men who were tested
1924,Relative error of HIV positive among adult men who were tested
1925,Lower bound for the confidence interval of the HIV prevalence among men calculated as the HIV prevalence minus 2 standard errors 
1926,Upper bound for the confidence interval of the HIV prevalence among men calculated as the HIV prevalence plus 2 standard errors 
1927,Number of men interviewed and tested
1928,Number of men interviewed and tested (unweighted)
1929,Percentage HIV positive among adult respondents who were tested. Data are shown with lower and upper bounds of the confidence intervals showing the range of the estimate with 95% probability. Starting around 2015 The DHS Program changed the HIV testing algorithm to add a confirmatory test for all EIA positive specimens. This change may affect trends in HIV prevalence estimates in some countries.
1930,Standard error of HIV positive among general population who were tested
1931,Relative error of HIV positive among general population who were tested
1932,Lower bound for the confidence interval of the HIV prevalence among adult respondents calculated as the HIV prevalence minus 2 standard errors 
1933,Upper bound for the confidence interval of the HIV prevalence among adult respondents calculated as the HIV prevalence plus 2 standard errors 
1934,Number of persons interviewed and tested
1935,Number of persons interviewed and tested (unweighted)
